slug,name_zh,name_en,gender,birth_date,birth_date_precision,birth_date_text,death_date,status,birthplace,current_location,father_slug,mother_slug,intro,tags,is_featured,primary_source_ids,evidence_status,review_status,notes
bo-si,,Bo Si,female,2009-08-07,day,August 7 2009,,alive,,"CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,,"CCRCGP Mianyang Base giant panda also listed in Chimelong transfer history.","china-domestic;chimelong-safari-park;ccrcgp-mianyang-base;gpg-index",false,src_gpg_chimelong_profiles;src_gpg_ccrcgp_mianyang_profiles,needs_primary_source,draft,"Secondary discovery row; primary current-holder profile still needed."
shen-wei,,Shen Wei,male,2009-08-07,day,August 7 2009,,alive,,"Ziqing Lake Safari Park, Nanjing, Jiangsu Province, China",,,"Ziqing Lake Safari Park giant panda also listed in Chimelong transfer history.","china-domestic;chimelong-safari-park;ziqing-lake-safari-park;gpg-index",false,src_gpg_chimelong_profiles;src_gpg_ziqing_lake_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
da-mei-changsha,,Da Mei,female,2017-06-27,day,June 27 2017,,alive,,"Changsha Ecological Zoo, China",,,"Changsha Ecological Zoo giant panda captured from secondary discovery index.","china-domestic;changsha-ecological-zoo;gpg-index",false,src_gpg_changsha_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; needs primary holder/source confirmation."
qing-qing-changsha-2017,,Qing Qing,female,2017-07-22,day,July 22 2017,,alive,,"Changsha Ecological Zoo, China",,,"Changsha Ecological Zoo giant panda captured from secondary discovery index.","china-domestic;changsha-ecological-zoo;gpg-index",false,src_gpg_changsha_profiles,needs_primary_source,draft,"Uses suffix to avoid other Qing Qing rows."
gong-zhu-changsha,,Gong Zhu,female,1998-09-11,day,September 11 1998,,deceased,,"Changsha Ecological Zoo, China",,,"Historic/deceased Changsha Ecological Zoo giant panda captured from secondary discovery index.","china-domestic;changsha-ecological-zoo;historic;deceased;gpg-index",false,src_gpg_changsha_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; needs archival primary source."
qi-fu-changsha,,Qi Fu,female,2008-07-26,day,July 26 2008,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Changsha Ecological Zoo giant panda captured from secondary discovery index.","china-domestic;changsha-ecological-zoo;gpg-index",false,src_gpg_changsha_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility and primary profile need confirmation."
bei-bei-changsha,,Bei Bei,female,2008-08-10,day,August 10 2008,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Changsha and Qingdao Zoo giant panda captured from secondary discovery indexes.","china-domestic;changsha-ecological-zoo;qingdao-zoo;gpg-index",false,src_gpg_changsha_profiles;src_gpg_qingdao_profiles,needs_primary_source,draft,"Uses suffix to avoid Smithsonian Bei Bei."
ni-ni-changsha,,Ni Ni,female,2008-08-23,day,August 23 2008,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Changsha Ecological Zoo giant panda captured from secondary discovery indexes.","china-domestic;changsha-ecological-zoo;chengdu-panda-base;gpg-index",false,src_gpg_changsha_profiles;src_gpg_meet_world_page_8,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility and primary profile need confirmation."
er-xi,,Er Xi,male,2010-07-28,day,July 28 2010,,alive,,"Wild World Jinan, Jinan, Shandong Province, China",,,"Wild World Jinan giant panda also listed in Changsha transfer history.","china-domestic;changsha-ecological-zoo;wild-world-jinan;gpg-index",false,src_gpg_changsha_profiles;src_gpg_wild_world_jinan_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
ya-yun,,Ya Yun,female,2010-09-10,day,September 10 2010,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Changsha Ecological Zoo giant panda captured from secondary discovery index.","china-domestic;changsha-ecological-zoo;gpg-index",false,src_gpg_changsha_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
jun-jun-changsha,,Jun Jun,female,2011-08-01,day,August 1 2011,,alive,,"Changsha Ecological Zoo, Changsha, Hunan Province, China",,,"Changsha Ecological Zoo giant panda captured from secondary discovery indexes.","china-domestic;changsha-ecological-zoo;gpg-index",false,src_gpg_changsha_profiles;src_gpg_meet_world_page_10,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility conflicts between GPG contexts and needs primary profile confirmation."
zhen-zhen-changsha,,Zhen Zhen,female,2011-08-04,day,August 4 2011,,alive,,"Changsha Ecological Zoo, Changsha, Hunan Province, China",,,"Changsha Ecological Zoo giant panda captured from secondary discovery indexes.","china-domestic;changsha-ecological-zoo;gpg-index",false,src_gpg_changsha_profiles;src_gpg_meet_world_page_10,needs_primary_source,draft,"Uses suffix to avoid other Zhen Zhen rows; current facility conflicts between GPG contexts and needs primary confirmation."
cheng-shuang,,Cheng Shuang,male,2012-09-12,day,September 12 2012,,alive,,"Suzhou Wildlife Park, Suzhou, Anhui Province, China",,,"Former Changsha Ecological Zoo and current Suzhou Wildlife Park giant panda captured from secondary discovery indexes.","china-domestic;changsha-ecological-zoo;suzhou-wildlife-park;gpg-index",false,src_gpg_changsha_profiles;src_gpg_suzhou_wildlife_profiles,needs_primary_source,draft,"GPG Suzhou Wildlife Park page confirms current listing; primary holder/source confirmation still needed."
cheng-dui,,Cheng Dui,male,2012-09-12,day,September 12 2012,,alive,,"All Love Park Animal Kingdom, Dezhou, Shandong Province, China",,,"All Love Park Animal Kingdom giant panda also listed in Changsha transfer history.","china-domestic;changsha-ecological-zoo;all-love-park-animal-kingdom;gpg-index",false,src_gpg_changsha_profiles;src_gpg_all_love_profiles,needs_primary_source,draft,"Secondary discovery row; primary current-holder profile still needed."
yuan-zhou-shenzhen,,Yuan Zhou,male,2010-08-15,day,August 15 2010,,alive,,"Shenzhen Safari Park, Shenzhen, Guangdong Province, China",,,"Shenzhen Safari Park giant panda captured from secondary discovery indexes.","china-domestic;shenzhen-safari-park;gpg-index",false,src_gpg_shenzhen_profiles;src_gpg_meet_world_page_10,needs_primary_source,draft,"Uses suffix to avoid future name collisions; needs primary holder/source confirmation."
ying-xin-shenzhen,,Ying Xin,male,,year_text,1981,,deceased,,"Shenzhen Safari Park, China",,,"Historic/deceased Shenzhen and Baoxing-listed giant panda captured from secondary discovery indexes.","china-domestic;shenzhen-safari-park;baoxing-education-center;historic;deceased;gpg-index",false,src_gpg_shenzhen_profiles;src_gpg_baoxing_profiles,needs_primary_source,draft,"Potential same individual across Shenzhen/Baoxing listings; needs archival primary source."
an-an-shenzhen,,An An,male,,year_text,1986,,deceased,,"Shenzhen Safari Park, China",,,"Historic/deceased Shenzhen and Baoxing-listed giant panda captured from secondary discovery indexes.","china-domestic;shenzhen-safari-park;baoxing-education-center;historic;deceased;gpg-index",false,src_gpg_shenzhen_profiles;src_gpg_baoxing_profiles,needs_primary_source,draft,"Uses suffix to avoid Smithsonian/Hong Kong/Moscow An An rows; needs archival primary source."
bing-dian,,Bing Dian,male,2000-09-01,day,September 1 2000,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Shenzhen Safari Park giant panda captured from secondary discovery index.","china-domestic;shenzhen-safari-park;gpg-index",false,src_gpg_shenzhen_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
cheng-gong-shenzhen,,Cheng Gong,female,2000-09-11,day,September 11 2000,,deceased,,"Shenzhen Safari Park, China",,,"Historic/deceased Shenzhen Safari Park giant panda captured from secondary discovery index.","china-domestic;shenzhen-safari-park;historic;deceased;gpg-index",false,src_gpg_shenzhen_profiles,needs_primary_source,draft,"Potential duplicate with Chengdu lineage placeholder Cheng Gong; needs studbook reconciliation."
mao-zhu,,Mao Zhu,male,2014-07-26,day,July 26 2014,,alive,,"Yunnan Wild Animal Park, China",,,"Yunnan Wild Animal Park giant panda captured from secondary discovery index.","china-domestic;yunnan-wild-animal-park;gpg-index",false,src_gpg_yunnan_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
zhen-duo,,Zhen Duo,male,2014-08-04,day,August 4 2014,,alive,,"Yunnan Wild Animal Park, China",,,"Yunnan Wild Animal Park giant panda captured from secondary discovery index.","china-domestic;yunnan-wild-animal-park;gpg-index",false,src_gpg_yunnan_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
xin-xing-yunnan,,Xin Xing,male,,year_text,1986,,deceased,,"Yunnan Wild Animal Park, China",,,"Historic/deceased Yunnan and Baoxing-listed giant panda captured from secondary discovery indexes.","china-domestic;yunnan-wild-animal-park;baoxing-education-center;historic;deceased;gpg-index",false,src_gpg_yunnan_profiles;src_gpg_baoxing_profiles,needs_primary_source,draft,"Uses suffix to avoid other Xin Xing rows; needs archival primary source."
mei-xi-yunnan,,Mei Xi,female,2006-08-10,day,August 10 2006,,alive,,"CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,,"CCRCGP Mianyang Base giant panda also listed in Yunnan Wild Animal Park transfer history.","china-domestic;yunnan-wild-animal-park;ccrcgp-mianyang-base;gpg-index",false,src_gpg_yunnan_profiles;src_gpg_ccrcgp_mianyang_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; primary current-holder profile still needed."
si-jia-yunnan,,Si Jia,female,2006-08-12,day,August 12 2006,,alive,,"Yabuli Panda House, Shangzhi, Harbin, Heilongjiang Province, China",,,"Former Yunnan Wild Animal Park giant panda captured from secondary discovery index.","china-domestic;yunnan-wild-animal-park;gpg-index",false,src_gpg_yunnan_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility and primary profile need confirmation."
a-jie,,A Jie,female,2015-08-31,day,August 31 2015,,alive,,"Ningbo Wildlife Park, China",,,"Ningbo Wildlife Park giant panda captured from secondary discovery indexes and Ya'an transfer history.","china-domestic;ningbo-wildlife-park;ccrcgp-yaan-base;gpg-index",false,src_gpg_ningbo_profiles;src_gpg_yaan_base_previous_page_7,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
ya-jun,,Ya Jun,female,2015-09-06,day,September 6 2015,,alive,,"Ningbo Wildlife Park, China",,,"Ningbo Wildlife Park giant panda captured from secondary discovery indexes and Ya'an transfer history.","china-domestic;ningbo-wildlife-park;ccrcgp-yaan-base;gpg-index",false,src_gpg_ningbo_profiles;src_gpg_yaan_base_previous_page_7,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
you-you-ningbo,,You You,male,2008-07-21,day,July 21 2008,,alive,,"Yabuli Panda House, Shangzhi, Harbin, Heilongjiang Province, China",,,"Former Ningbo Wildlife Park giant panda captured from secondary discovery index.","china-domestic;ningbo-wildlife-park;gpg-index",false,src_gpg_ningbo_profiles,needs_primary_source,draft,"Uses suffix to avoid other You You rows; current facility and primary profile need confirmation."
han-yuan,,Han Yuan,female,2008-07-21,day,July 21 2008,,alive,,"CCRCGP Dujiangyan Base, Sichuan Province, China",,,"Former Ningbo Wildlife Park giant panda captured from secondary discovery index.","china-domestic;ningbo-wildlife-park;gpg-index",false,src_gpg_ningbo_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
zheng-zheng-ningbo,,Zheng Zheng,female,2012-07-11,day,July 11 2012,,alive,,"SWARC Louguantai, Shaanxi Province, China",,,"Former Ningbo Wildlife Park giant panda captured from secondary discovery indexes.","china-domestic;ningbo-wildlife-park;swarc-louguantai;gpg-index",false,src_gpg_ningbo_profiles;src_gpg_meet_world_page_11,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility and primary profile need confirmation."
ya-shuang,,Ya Shuang,female,2002-08-28,day,August 28 2002,,alive,,"Wild World Jinan, China",,,"Wild World Jinan giant panda captured from secondary discovery index.","china-domestic;wild-world-jinan;gpg-index",false,src_gpg_wild_world_jinan_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
qiao-qiao-fude,,Qiao Qiao,male,2011-08-04,day,August 4 2011,,alive,,"Guanghe Valley Tourist Resort, Tianjin, China",,,"Guanghe Valley Tourist Resort giant panda captured from secondary discovery indexes.","china-domestic;tianjin-fude-zoo;guanghe-valley-tourist-resort;gpg-index",false,src_gpg_tianjin_fude_profiles;src_gpg_meet_world_page_10,needs_primary_source,draft,"Uses suffix to avoid Chongqing/Qinling/Ya'an Qiao Qiao rows."
xing-mei-fude,,Xing Mei,female,2011-08-10,day,August 10 2011,,alive,,"Guanghe Valley Tourist Resort, Tianjin, China",,,"Guanghe Valley Tourist Resort giant panda captured from secondary discovery indexes.","china-domestic;tianjin-fude-zoo;guanghe-valley-tourist-resort;gpg-index",false,src_gpg_tianjin_fude_profiles;src_gpg_meet_world_page_10,needs_primary_source,draft,"Uses suffix to avoid future name collisions; needs primary holder/source confirmation."
hui-hui-langzhong,,Hui Hui,female,2012-07-11,day,July 11 2012,,alive,,"Langzhong Panda Paradise, Langzhong, Sichuan Province, China",,,"Langzhong Panda Paradise giant panda captured from secondary discovery indexes.","china-domestic;langzhong-panda-paradise;gpg-index",false,src_gpg_langzhong_profiles;src_gpg_meet_world_page_11,needs_primary_source,draft,"Uses suffix to avoid Chimelong Hui Hui."
rong-rong-langzhong,,Rong Rong,male,2004-07-13,day,July 13 2004,,alive,,"CCRCGP Dujiangyan Base, Sichuan Province, China",,,"Former Langzhong and Ya'an-listed giant panda captured from secondary discovery indexes.","china-domestic;langzhong-panda-paradise;ccrcgp-yaan-base;gpg-index",false,src_gpg_langzhong_profiles;src_gpg_yaan_base_previous_page_2,needs_primary_source,draft,"Uses suffix to avoid Tianjin female Rong Rong. GPG Ya'an previous page 2 also lists the same 2004-07-13 male Rong Rong at Dujiangyan."
jin-ke,,Jin Ke,male,2009-07-15,day,July 15 2009,,alive,,"Shunan Bamboo Sea, Yibin, Sichuan Province, China",,,"Former Langzhong Panda Paradise giant panda now listed at Shunan Bamboo Sea in secondary discovery indexes.","china-domestic;langzhong-panda-paradise;shunan-bamboo-sea;gpg-index",false,src_gpg_langzhong_profiles;src_gpg_shunan_profiles,needs_primary_source,draft,"Secondary discovery row; current facility changed from earlier Ya'an context to newer Shunan listing; needs primary holder/transfer confirmation."
chu-xin,,Chu Xin,female,2016-07-30,day,July 30 2016,,alive,,"Jilin Provincial Siberian Tiger Park, China",,,"Jilin Provincial Siberian Tiger Park giant panda captured from secondary discovery indexes and Ya'an transfer history.","china-domestic;jilin-siberian-tiger-park;ccrcgp-yaan-base;gpg-index",false,src_gpg_jilin_tiger_profiles;src_gpg_yaan_base_previous_page_7,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
mu-yun,,Mu Yun,female,2016-07-31,day,July 31 2016,,alive,,"Jilin Provincial Siberian Tiger Park, China",,,"Jilin Provincial Siberian Tiger Park giant panda captured from secondary discovery indexes and Dujiangyan/Ya'an transfer history.","china-domestic;jilin-siberian-tiger-park;ccrcgp-dujiangyan-base;ccrcgp-yaan-base;gpg-index",false,src_gpg_jilin_tiger_profiles;src_gpg_dujiangyan_previous_page_5;src_gpg_yaan_base_previous_page_7,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
a-ling,,A Ling,female,2008-09-14,day,September 14 2008,,alive,,"Anshan Zoo, Liaoning Province, China",,,"Former Jilin Provincial Siberian Tiger Park giant panda captured from secondary discovery index.","china-domestic;jilin-siberian-tiger-park;gpg-index",false,src_gpg_jilin_tiger_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
le-shui,,Le Shui / Yuan Xiao,male,2006-08-06,day,August 6 2006,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Qingdao Zoo and Xiamen Haicang Safari Park giant panda captured from secondary discovery indexes.","china-domestic;qingdao-zoo;xiamen-haicang-safari-park;alias-yuan-xiao;gpg-index",false,src_gpg_qingdao_profiles;src_gpg_xiamen_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
qing-qing-taiyuan,,Qing Qing,female,,year_text,1985,,deceased,,"Taiyuan Zoo, China",,,"Historic/deceased Taiyuan Zoo giant panda captured from secondary discovery index.","china-domestic;taiyuan-zoo;historic;deceased;gpg-index",false,src_gpg_taiyuan_profiles,needs_primary_source,draft,"Uses suffix to avoid other Qing Qing rows; needs archival primary source."
gong-gong,,Gong Gong,male,2013-08-18,day,August 18 2013,,alive,,"Hainan Tropical Wildlife Park, Haikou, Hainan Island, China",,,"Hainan Tropical Wildlife Park giant panda also listed in Taiyuan transfer history.","china-domestic;taiyuan-zoo;hainan-tropical-wildlife-park;gpg-index",false,src_gpg_taiyuan_profiles;src_gpg_hainan_tropical_profiles,needs_primary_source,draft,"Secondary discovery row; primary current-holder profile still needed."
shun-shun,,Shun Shun,male,2013-08-27,day,August 27 2013,,alive,,"Hainan Tropical Wildlife Park, Haikou, Hainan Island, China",,,"Hainan Tropical Wildlife Park giant panda also listed in Taiyuan transfer history.","china-domestic;taiyuan-zoo;hainan-tropical-wildlife-park;gpg-index",false,src_gpg_taiyuan_profiles;src_gpg_hainan_tropical_profiles,needs_primary_source,draft,"Secondary discovery row; primary current-holder profile still needed."
mei-xin-linhu,,Mei Xin,female,2006-08-10,day,August 10 2006,,alive,,"CCRCGP Ya'an Base, Ya'an, Sichuan Province, China",,,"Former Linhu Guse and Ya'an-listed giant panda captured from secondary discovery indexes.","china-domestic;linhu-guse-giant-panda-theme-park;ccrcgp-yaan-base;gpg-index",false,src_gpg_linhu_guse_profiles;src_gpg_yaan_base_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; GPG Ya'an current index lists this 2006-08-10 female at Ya'an Base. Transfer/current-location history needs primary holder confirmation."
tao-tao-linhu,,Tao Tao,male,2006-08-12,day,August 12 2006,,alive,,"Linhu Guse Giant Panda Theme Park, Zhuozi, Inner Mongolia, China",,,"Linhu Guse Giant Panda Theme Park giant panda also listed in Changyu Dongtian transfer history.","china-domestic;linhu-guse-giant-panda-theme-park;changyu-dongtian-panda-pavilion;gpg-index",false,src_gpg_linhu_guse_profiles;src_gpg_changyu_profiles,needs_primary_source,draft,"Uses suffix to avoid Fuzhou Tao Tao; primary current-holder profile still needed."
yun-tao,,Yun Tao,male,2011-10-31,day,October 31 2011,,alive,,"Linhu Guse Giant Panda Theme Park, Zhuozi, Inner Mongolia, China",,,"Linhu Guse Giant Panda Theme Park giant panda captured from secondary discovery index.","china-domestic;linhu-guse-giant-panda-theme-park;gpg-index",false,src_gpg_linhu_guse_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
duo-duo-linhu,,Duo Duo,female,2006-09-11,day,September 11 2006,,alive,,"CCRCGP Ya'an Base, Ya'an, Sichuan Province, China",,,"Former Linhu Guse and Shijiazhuang Zoo giant panda captured from secondary discovery indexes.","china-domestic;linhu-guse-giant-panda-theme-park;shijiazhuang-zoo;ccrcgp-yaan-base;returned-to-sichuan;gpg-index",false,src_gpg_linhu_guse_profiles;src_gpg_shijiazhuang_profiles;src_gpg_meet_world_page_6;src_gpg_yaan_base_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; GPG Ya'an current index confirms Ya'an listing, while return/transfer history still needs primary-source promotion."
ji-li-xiamen,,Ji Li,female,2007-07-23,day,July 23 2007,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Xiamen Haicang Safari Park giant panda captured from secondary discovery indexes.","china-domestic;xiamen-haicang-safari-park;chengdu-panda-base;gpg-index",false,src_gpg_xiamen_profiles;src_gpg_meet_world_page_6,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
xing-rui,,Xing Rui,male,2009-07-22,day,July 22 2009,,alive,,"Giant Panda Culture Publicity and Education Center Baoxing, Sichuan Province, China",,,"Baoxing Education Center giant panda captured from secondary discovery index.","china-domestic;baoxing-education-center;gpg-index",false,src_gpg_baoxing_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
pan-pan-baoxing,,Pan Pan,male,,year_text,1985,2016-12-28,deceased,"wildborn, Baoxing County, Sichuan Province, China","CCRCGP Dujiangyan Base, Sichuan Province, China",,,"Long-lived male known as a prolific captive-breeding sire and historic Baoxing rescue panda.","china-domestic;baoxing-education-center;historic;deceased;lineage-anchor;gpg-index",false,src_gpg_baoxing_profiles;src_gpg_yaan_base_previous_page_1;src_dw_panpan_death;src_pandasintl_panpan_memorial,partial,draft,"Death date and Dujiangyan geriatric-care context from reliable secondary sources; GPG Ya'an previous page gives 1985 year context; canonical studbook/primary profile still needed before merging with placeholder Pan Pan rows."
qiang-sheng,,Qiang Sheng,male,2017-06-11,day,June 11 2017,,alive,,"Foping Panda Valley, Foping, Shaanxi Province, China",,,"Foping Panda Valley giant panda captured from secondary discovery index.","china-domestic;foping-panda-valley;gpg-index",false,src_gpg_foping_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
lu-lu-foping,,Lu Lu,male,2017-06-12,day,June 12 2017,,alive,,"Foping Panda Valley, Foping, Shaanxi Province, China",,,"Foping Panda Valley giant panda captured from secondary discovery index.","china-domestic;foping-panda-valley;gpg-index",false,src_gpg_foping_profiles,needs_primary_source,draft,"Uses suffix to avoid Pairi and Beijing lineage-placeholder Lu Lu rows."
qing-qing-yangzhou-expo,,Qing Qing,female,2007-02-23,day,February 23 2007,,alive,,"Yangzhou Expo Park, Yizheng, Yangzhou, Jiangsu Province, China",,,"Yangzhou Expo Park giant panda captured from secondary discovery indexes.","china-domestic;yangzhou-expo-park;gpg-index",false,src_gpg_yangzhou_expo_profiles;src_gpg_meet_world_page_6,needs_primary_source,draft,"Uses suffix to avoid other Qing Qing rows; needs primary holder/source confirmation."
chun-qiao,,Chun Qiao,female,2015-08-08,day,August 8 2015,,alive,,"Yangzhou Expo Park, Yizheng, Yangzhou, Jiangsu Province, China",,,"Yangzhou Expo Park giant panda captured from secondary discovery indexes and Ya'an transfer history.","china-domestic;yangzhou-expo-park;ccrcgp-yaan-base;gpg-index",false,src_gpg_yangzhou_expo_profiles;src_gpg_yaan_base_previous_page_7,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
pang-niu,,Pang Niu,female,2016-08-17,day,August 17 2016,,alive,,"Yangzhou Expo Park, Yizheng, Yangzhou, Jiangsu Province, China",,,"Yangzhou Expo Park giant panda captured from secondary discovery index.","china-domestic;yangzhou-expo-park;gpg-index",false,src_gpg_yangzhou_expo_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
nian-nian-yangzhou-expo,,Nian Nian,female,2018-07-31,day,July 31 2018,,alive,,"Yangzhou Expo Park, Yizheng, Yangzhou, Jiangsu Province, China",,,"Yangzhou Expo Park giant panda captured from secondary discovery indexes.","china-domestic;yangzhou-expo-park;gpg-index",false,src_gpg_yangzhou_expo_profiles;src_gpg_meet_world_page_16,needs_primary_source,draft,"Uses suffix to avoid future name collisions; needs primary holder/source confirmation."
xiang-zhu,,Xiang Zhu,female,2018-08-06,day,August 6 2018,,alive,,"Yangzhou Expo Park, Yizheng, Yangzhou, Jiangsu Province, China",,,"Yangzhou Expo Park giant panda captured from secondary discovery index.","china-domestic;yangzhou-expo-park;gpg-index",false,src_gpg_yangzhou_expo_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
zhen-da,,Zhen Da,male,2006-08-07,day,August 7 2006,,alive,,"Dongguan Xiangshi Zoo, Dongguan, Guangdong Province, China",,,"Dongguan Xiangshi Zoo giant panda also listed in China Bamboo Expo Park transfer history.","china-domestic;dongguan-xiangshi-zoo;china-bamboo-expo-park;gpg-index",false,src_gpg_dongguan_xiangshi_profiles;src_gpg_china_bamboo_profiles,needs_primary_source,draft,"Secondary discovery row; primary current-holder profile still needed."
shuang-er,,Shuang Er,male,2006-08-30,day,August 30 2006,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Dongguan Xiangshi Zoo giant panda captured from secondary discovery index.","china-domestic;dongguan-xiangshi-zoo;gpg-index",false,src_gpg_dongguan_xiangshi_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
ya-guang-wenzhou,,Ya Guang,male,2001-08-20,day,August 20 2001,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Wenzhou Zoo giant panda captured from secondary discovery index.","china-domestic;wenzhou-zoo;gpg-index",false,src_gpg_wenzhou_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility and primary profile need confirmation."
ji-you-wenzhou,,Ji You,male,2007-07-23,day,July 23 2007,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Wenzhou Zoo giant panda captured from secondary discovery indexes.","china-domestic;wenzhou-zoo;chengdu-panda-base;gpg-index",false,src_gpg_wenzhou_profiles;src_gpg_meet_world_page_6,needs_primary_source,draft,"Uses suffix to avoid future name collisions; current facility and primary profile need confirmation."
xing-an,,Xing An,female,2013-08-05,day,August 5 2013,,alive,,"Tianmu Lake Nanshan Bamboo Sea, Liyang, Jiangsu Province, China",,,"Tianmu Lake Nanshan Bamboo Sea giant panda captured from secondary discovery index.","china-domestic;tianmu-lake-nanshan-bamboo-sea;gpg-index",false,src_gpg_tianmu_lake_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
hua-li-tianmu,,Hua Li,female,2013-09-02,day,September 2 2013,,alive,,"Tianmu Lake Nanshan Bamboo Sea, Liyang, Jiangsu Province, China",,,"Tianmu Lake Nanshan Bamboo Sea giant panda captured from secondary discovery index.","china-domestic;tianmu-lake-nanshan-bamboo-sea;gpg-index",false,src_gpg_tianmu_lake_profiles,needs_primary_source,draft,"Uses suffix to avoid future name collisions; needs primary holder/source confirmation."
yun-yun-guanmenshan,,Yun Yun,female,2008-07-13,day,July 13 2008,,alive,,"Guanmenshan Scenic Area, Shennongjia, Hubei Province, China",,,"Guanmenshan-listed giant panda captured from Tianmu Lake secondary discovery index.","china-domestic;guanmenshan-scenic-area;tianmu-lake-nanshan-bamboo-sea;gpg-index",false,src_gpg_tianmu_lake_profiles,needs_primary_source,draft,"Uses suffix to avoid Tianjin/Chimelong Yun Yun rows; direct Guanmenshan primary source needed."
zhuang-mei,,Zhuang Mei,female,2008-07-26,day,July 26 2008,,deceased,,"Tianmu Lake Nanshan Bamboo Sea, Liyang, Jiangsu Province, China",,,"Historic/deceased Tianmu Lake Nanshan Bamboo Sea listed giant panda captured from secondary discovery index.","china-domestic;tianmu-lake-nanshan-bamboo-sea;historic;deceased;gpg-index",false,src_gpg_tianmu_lake_profiles,needs_primary_source,draft,"Secondary discovery row; needs archival primary source."
ao-yun,,Ao Yun,male,2008-08-08,day,August 8 2008,,alive,,"Guanmenshan Scenic Area, Shennongjia, Hubei Province, China",,,"Guanmenshan-listed giant panda captured from Tianmu Lake secondary discovery index.","china-domestic;guanmenshan-scenic-area;tianmu-lake-nanshan-bamboo-sea;gpg-index",false,src_gpg_tianmu_lake_profiles,needs_primary_source,draft,"Secondary discovery row; direct Guanmenshan primary source needed."
si-nian,,Si Nian,male,2015-08-02,day,August 2 2015,,alive,,"Lingling Animal Kingdom, Xiamen, Fujian Province, China",,,"Lingling Animal Kingdom giant panda captured from secondary discovery index.","china-domestic;lingling-animal-kingdom;gpg-index",false,src_gpg_lingling_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
si-yunyun,,Si Yunyun,male,2015-08-02,day,August 2 2015,,alive,,"Lingling Animal Kingdom, Xiamen, Fujian Province, China",,,"Lingling Animal Kingdom giant panda captured from secondary discovery index.","china-domestic;lingling-animal-kingdom;gpg-index",false,src_gpg_lingling_profiles,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
